job_titles,Creation date,employer,location,Job_Type
Data Analyst*in (d/m/w) Einnahmesicherung und Auskehr (Data Engineer),22/05/2023,Toll Collect GmbH,Germany : Berlin,Full-time
Data Engineer / Data Warehouse Entwickler (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,REWE Digital GmbH,"Germany : Köln, Kreisfreie Stadt",Full-time
Social Media Data Engineer (m/w/d) (Data-Warehouse-Analyst/in),03/05/2023,ProTechnology GmbH,"Germany : Dresden, Kreisfreie Stadt",Full-time
Data Engineer (all genders) (Informatiker/in (Hochschule)),29/05/2023,Deutsche Lufthansa AG,"Germany : Groß-Gerau , Ingolstadt, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Stuttgart, Stadtkreis",Full-time
Data Engineer (all genders) (Informatiker/in (Hochschule)),15/05/2023,Deutsche Lufthansa AG,"Germany : Segeberg , Hamburg , Wolfsburg, Kreisfreie Stadt , Berlin",Full-time
Senior Data Engineer - Data Scientist (f/m/div.) (Informatiker/in (Hochschule)),11/05/2023,Robert Bosch GmbH,Germany : Esslingen,Full-time
(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),31/03/2023,PD Berater der öffentlichen Hand GmbH,"Germany : Frankfurt am Main, Kreisfreie Stadt , Berlin , Düsseldorf, Kreisfreie Stadt , Hamburg , Wiesbaden, Kreisfreie Stadt",Full-time
Senior Client Solution Engineer (m/w/d) Homeoffice (Data Engineer),15/05/2023,puro Personaldienstleistung GmbH,"Germany : Düsseldorf, Kreisfreie Stadt","Flexible,"
Medical Data Engineer / Data Scientist für die Klinische Sequenziereinheit (m/w/d) (Data Scientist),17/05/2023,Universitätsklinikum Regensburg,"Germany : Regensburg, Kreisfreie Stadt",Full-time
Data Engineer (w/m/d) (IT-Berater/in),02/05/2023,Procon-IT GmbH (Garching),"Germany : München, Landkreis",Full-time
Data Engineer (m/w/d) (IT-Berater/in),06/04/2023,IT-P GmbH,Germany : Region Hannover,Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),24/05/2023,engineering people GmbH,"Germany : Augsburg, Kreisfreie Stadt",Full-time
Data Engineer (w/m/d) (Informatiker/in (Hochschule)),22/05/2023,Hüttenwerke Krupp Mannesmann GmbH,"Germany : Duisburg, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),19/05/2023,FERCHAU GmbH Niederlassung Regensburg,Germany : Cham,Full-time
Data Engineer (m/f/d) (Informatiker/in (Hochschule)),16/05/2023,Deutsche Lufthansa AG,"Germany : Offenbach, Landkreis",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,Zollner Elektronik AG Werk Zandt,Germany : Cham,Full-time
Data Engineer (w/m/d) (Informatiker/in (Hochschule)),10/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),04/05/2023,Medizinischer Dienst Berlin-Brandenburg KdöR,Germany : Berlin,Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),03/05/2023,Canon Production Printing Germany GmbH & Co. KG,Germany : Ebersberg,Full-time
Data Engineer (m/w/d) (Fachinformatiker/in - Anwendungsentwicklung),22/03/2023,Sievers SNC Computer und Software GmbH & Co. KG,"Germany : Osnabrück, Kreisfreie Stadt",Full-time
Data Architect/Engineer (m/w/d) - Machine Learning and AI | Executive Search | Mercedes-Benz (Data Engineer),22/05/2023,FERCHAU GmbH Niederlassung München Mobility,"Germany : Stuttgart, Stadtkreis",Full-time
Data Engineer (m/w/divers) (Informatiker/in (Hochschule)),30/05/2023,Deutsche Lufthansa AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (m/f/diverse) (Informatiker/in (Hochschule)),29/05/2023,Deutsche Lufthansa AG,"Germany : Offenbach, Landkreis",Full-time
Data Engineer (w/m/div.) (Informatiker/in (Hochschule)),18/05/2023,Robert Bosch GmbH,Germany : Reutlingen,Full-time
Power BI Analyst (m/w/d) (Data Engineer),10/05/2023,CG Elementum AG,Germany : Berlin,Full-time
Werkstudent - Genehmigung Umweltschutz (w/m/d) (Data Engineer),04/05/2023,Uniper SE,Germany : Region Hannover,Full-time
Senior Datenschutz Consultant (m/w/d) (Data Engineer),19/04/2023,MachCon Deutschland GmbH,Germany : Konstanz,Full-time
Mitarbeiter (m/w/d) Data Management SAP Stammdaten und Stücklisten (Data Engineer),31/03/2023,Rittal GmbH & Co. KG,Germany : Lahn-Dill-Kreis,Full-time
Junior BI & Datawarehouse Consultant (m/w/d) (Data Engineer),05/05/2023,T.CON GmbH & Co. KG,"Germany : Hamburg , Berlin , Deggendorf",Full-time
Data Engineer (m/w/d) (Ingenieur/in - Systems Engineering),26/05/2023,DAHMEN Personalservice GmbH,"Germany : Düsseldorf, Kreisfreie Stadt","Flexible,"
